"SnapshotDateUTC","UserId","UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","GroupId","GroupDisplayName"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000004","afontaine@contoso.onmicrosoft.com","Alex Fontaine","","","True","",""
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000001","aosei@contoso.onmicrosoft.com","Amara Osei","Store Operations","Store Associate","True","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000002","akalu@contoso.onmicrosoft.com","Andre Kalu","HR","HR Manager","True","20000000-0000-4000-8000-000000000002","DEPT-HR"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000003","blindqvist@contoso.onmicrosoft.com","Bea Lindqvist","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000002","DEPT-HR"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000005","crestrepo@contoso.onmicrosoft.com","Camila Restrepo","Finance","Controller","True","20000000-0000-4000-8000-000000000003","DEPT-Finance"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000006","cpruitt@contoso.onmicrosoft.com","Colin Pruitt","","Store Associate","False","",""
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000007","dreyes@contoso.onmicrosoft.com","Devon Reyes","Store Operations","Shift Lead","True","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000007","dreyes@contoso.onmicrosoft.com","Devon Reyes","Store Operations","Shift Lead","True","20000000-0000-4000-8000-000000000004","ROLE-IT-SysAdmin"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000007","dreyes@contoso.onmicrosoft.com","Devon Reyes","Store Operations","Shift Lead","True","20000000-0000-4000-8000-000000000005","ROLE-Store-Associate"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000009","iduarte@contoso.onmicrosoft.com","Ines Duarte","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000002","DEPT-HR"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000009","iduarte@contoso.onmicrosoft.com","Ines Duarte","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000006","ROLE-HR-Coordinator"
